id,region_id,name,created_at,updated_at
1,33,"{""en"": ""Moscow"", ""ru"": ""Москва""}","2018-07-03 16:30:08","2018-07-03 16:30:08"
2,30,"{""en"": ""Saint-Petersburg"", ""ru"": ""Санкт-Петербург""}","2018-07-03 16:30:09","2018-07-03 16:30:09"
3,36,"{""en"": ""Novosibirsk"", ""ru"": ""Новосибирск""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
4,47,"{""en"": ""Ekaterinburg"", ""ru"": ""Екатеринбург""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
5,16,"{""en"": ""Nizhnii Novgorod"", ""ru"": ""Нижний Новгород""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
6,43,"{""en"": ""Rostov-na-Donu"", ""ru"": ""Ростов-на-Дону""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
7,6,"{""en"": ""Khabarovsk"", ""ru"": ""Хабаровск""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
8,71,"{""en"": ""Kazan'"", ""ru"": ""Казань""}","2018-07-03 16:30:10","2018-07-03 16:30:10"
9,54,"{""en"": ""Chelyabinsk"", ""ru"": ""Челябинск""}","2018-07-03 16:30:11","2018-07-03 16:30:11"
10,37,"{""en"": ""Omsk"", ""ru"": ""Омск""}","2018-07-03 16:30:11","2018-07-03 16:30:11"
11,27,"{""en"": ""Samara"", ""ru"": ""Самара""}","2018-07-03 16:30:11","2018-07-03 16:30:11"
12,59,"{""en"": ""Ufa"", ""ru"": ""Уфа""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
13,3,"{""en"": ""Krasnoyarsk"", ""ru"": ""Красноярск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
14,41,"{""en"": ""Perm'"", ""ru"": ""Пермь""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
15,15,"{""en"": ""Voronezh"", ""ru"": ""Воронеж""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
16,13,"{""en"": ""Volgograd"", ""ru"": ""Волгоград""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
17,45,"{""en"": ""Saratov"", ""ru"": ""Саратов""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
18,2,"{""en"": ""Krasnodar"", ""ru"": ""Краснодар""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
19,27,"{""en"": ""Tol'yatti"", ""ru"": ""Тольятти""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
20,73,"{""en"": ""Izhevsk"", ""ru"": ""Ижевск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
21,1,"{""en"": ""Barnaul"", ""ru"": ""Барнаул""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
22,18,"{""en"": ""Irkutsk"", ""ru"": ""Иркутск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
23,53,"{""en"": ""Ul'yanovsk"", ""ru"": ""Ульяновск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
24,57,"{""en"": ""Yaroslavl'"", ""ru"": ""Ярославль""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
25,24,"{""en"": ""Novokuznetsk"", ""ru"": ""Новокузнецк""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
26,38,"{""en"": ""Orenburg"", ""ru"": ""Оренбург""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
27,44,"{""en"": ""Ryazan'"", ""ru"": ""Рязань""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
28,4,"{""en"": ""Vladivostok"", ""ru"": ""Владивосток""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
29,40,"{""en"": ""Penza"", ""ru"": ""Пенза""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
30,52,"{""en"": ""Tyumen'"", ""ru"": ""Тюмень""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
31,71,"{""en"": ""Naberezhnye Chelny"", ""ru"": ""Набережные Челны""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
32,31,"{""en"": ""Lipetsk"", ""ru"": ""Липецк""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
33,9,"{""en"": ""Astrahan'"", ""ru"": ""Астрахань""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
34,74,"{""en"": ""Abakan"", ""ru"": ""Абакан""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
35,56,"{""en"": ""Anadyr'"", ""ru"": ""Анадырь""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
36,8,"{""en"": ""Arhangel'sk"", ""ru"": ""Архангельск""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
37,10,"{""en"": ""Belgorod"", ""ru"": ""Белгород""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
38,78,"{""en"": ""Birobidzhan"", ""ru"": ""Биробиджан""}","2018-07-03 16:30:12","2018-07-03 16:30:12"
